settlement_id,date_initiated,product_sales,selling_fees,refunded_amount
AMZ-SETTLE-0001,2026-01-04,"37,306.94","5,421.80",0.00
AMZ-SETTLE-0002,2026-01-07,"22,236.39","3,463.39","1,111.82"
AMZ-SETTLE-0003,2026-01-09,"27,577.23","4,916.05",0.00
AMZ-SETTLE-0004,2026-01-12,"33,170.49","4,208.44","1,658.52"
AMZ-SETTLE-0005,2026-01-14,"36,438.15","5,116.30","1,821.91"
AMZ-SETTLE-0006,2026-01-17,"24,086.31","3,546.07","1,204.32"
AMZ-SETTLE-0007,2026-01-19,"43,959.86","7,284.93",0.00
AMZ-SETTLE-0008,2026-01-22,"40,209.19","5,545.12",0.00
AMZ-SETTLE-0009,2026-01-24,"13,655.05","2,263.33",0.00
AMZ-SETTLE-0010,2026-01-27,"30,160.95","4,503.52",0.00
AMZ-SETTLE-0011,2026-01-29,"42,376.65","7,319.44","2,118.83"
AMZ-SETTLE-0012,2026-02-01,"16,859.74","2,266.83",0.00
AMZ-SETTLE-0013,2026-02-03,"11,169.18","1,665.99",0.00
AMZ-SETTLE-0014,2026-02-06,"44,185.43","6,714.52",0.00
AMZ-SETTLE-0015,2026-02-08,"12,750.48","1,893.66",0.00
AMZ-SETTLE-0016,2026-02-11,"17,807.10","3,068.98",890.36
AMZ-SETTLE-0017,2026-02-13,"43,681.43","7,676.35",0.00
AMZ-SETTLE-0018,2026-02-16,"34,379.11","4,948.51","1,718.96"
AMZ-SETTLE-0019,2026-02-18,"24,209.70","3,656.99",0.00
AMZ-SETTLE-0020,2026-02-21,"17,172.51","2,126.67",0.00
AMZ-SETTLE-0021,2026-02-23,"29,767.42","3,983.09",0.00
AMZ-SETTLE-0022,2026-02-26,"8,266.06","1,342.99",0.00
AMZ-SETTLE-0023,2026-02-28,"16,470.85","2,871.28",823.54
AMZ-SETTLE-0024,2026-03-03,"10,621.72","1,426.29",531.09
AMZ-SETTLE-0025,2026-03-05,"15,926.76","2,037.65",796.34
AMZ-SETTLE-0026,2026-03-08,"16,990.90","2,521.08",849.55
AMZ-SETTLE-0027,2026-03-10,"15,045.17","1,892.92",752.26
AMZ-SETTLE-0028,2026-03-13,"21,109.01","3,053.76",0.00
AMZ-SETTLE-0029,2026-03-15,"32,914.49","5,893.34",0.00
AMZ-SETTLE-0030,2026-03-18,"10,242.67","1,676.65",0.00
AMZ-SETTLE-0031,2026-03-20,"17,200.28","2,260.33",860.01
AMZ-SETTLE-0032,2026-03-23,"13,186.74","1,727.59",659.34
AMZ-SETTLE-0033,2026-03-25,"17,242.84","3,024.32",862.14
AMZ-SETTLE-0034,2026-03-28,"37,896.82","6,493.92",0.00
AMZ-SETTLE-0035,2026-03-30,"9,871.77","1,776.49",0.00
