txn_id,date,description,amount
BT0001,01/06/2026,SHOPIFY PAYOUT SH-PO-0001,"22,604.87"
BT0002,01/08/2026,SHOPIFY PAYOUT SH-PO-0002,"12,020.86"
BT0003,01/13/2026,SHOPIFY PAYOUT SH-PO-0003,"24,442.73"
BT0004,01/14/2026,SHOPIFY PAYOUT SH-PO-0004,"22,089.69"
BT0005,01/14/2026,SHOPIFY PAYOUT SH-PO-0005,"11,211.75"
BT0006,01/19/2026,SHOPIFY PAYOUT SH-PO-0006,"19,388.07"
BT0007,01/19/2026,SHOPIFY PAYOUT SH-PO-0007,"19,059.61"
BT0008,01/23/2026,SHOPIFY PAYOUT SH-PO-0008,"12,896.06"
BT0009,01/26/2026,SHOPIFY PAYOUT SH-PO-0009,"25,207.30"
BT0010,01/27/2026,SHOPIFY PAYOUT SH-PO-0010,"11,085.43"
BT0011,01/29/2026,SHOPIFY PAYOUT SH-PO-0011,"7,268.99"
BT0012,02/02/2026,SHOPIFY PAYOUT SH-PO-0012,"20,498.50"
BT0013,02/05/2026,SHOPIFY PAYOUT SH-PO-0013,"17,538.43"
BT0014,02/08/2026,SHOPIFY PAYOUT SH-PO-0014,"6,569.20"
BT0015,02/09/2026,SHOPIFY PAYOUT SH-PO-0015,"20,829.27"
BT0016,02/13/2026,SHOPIFY PAYOUT SH-PO-0016,"9,630.46"
BT0017,02/14/2026,SHOPIFY PAYOUT SH-PO-0017,"11,506.77"
BT0018,02/18/2026,SHOPIFY PAYOUT SH-PO-0018,"28,401.00"
BT0019,02/22/2026,SHOPIFY PAYOUT SH-PO-0019,"12,387.36"
BT0020,02/23/2026,SHOPIFY PAYOUT SH-PO-0020,"8,807.16"
BT0021,02/23/2026,SHOPIFY PAYOUT SH-PO-0021,"11,521.49"
BT0022,02/26/2026,SHOPIFY PAYOUT SH-PO-0022,"6,346.81"
BT0023,03/04/2026,SHOPIFY PAYOUT SH-PO-0023,"25,083.09"
BT0024,03/05/2026,SHOPIFY PAYOUT SH-PO-0024,"11,601.89"
BT0025,03/05/2026,SHOPIFY PAYOUT SH-PO-0025,"21,017.16"
BT0026,03/08/2026,SHOPIFY PAYOUT SH-PO-0026,"11,095.98"
BT0027,03/12/2026,SHOPIFY PAYOUT SH-PO-0027,"15,234.99"
BT0028,03/14/2026,SHOPIFY PAYOUT SH-PO-0028,"27,907.01"
BT0029,03/17/2026,SHOPIFY PAYOUT SH-PO-0029,"17,702.62"
BT0030,03/19/2026,SHOPIFY PAYOUT SH-PO-0030,"18,246.71"
BT0031,03/24/2026,SHOPIFY PAYOUT SH-PO-0031,"24,330.55"
BT0032,03/27/2026,SHOPIFY PAYOUT SH-PO-0032,"20,870.29"
BT0033,03/25/2026,SHOPIFY PAYOUT SH-PO-0033,"15,305.22"
BT0034,03/28/2026,SHOPIFY PAYOUT SH-PO-0034,"19,760.20"
BT0035,03/30/2026,SHOPIFY PAYOUT SH-PO-0035,"30,015.14"
BT0036,01/06/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0001,"31,885.14"
BT0037,01/08/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0002,"17,661.18"
BT0038,01/12/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0003,"22,661.18"
BT0039,01/14/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0004,"27,303.53"
BT0040,01/19/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0005,"29,499.94"
BT0041,01/19/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0006,"19,335.92"
BT0042,01/20/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0007,"36,674.93"
BT0043,01/25/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0008,"34,664.07"
BT0044,01/27/2026,AMZN DIRECT DEP ACH AMZ-SETTLE-0009,"11,391.72"
