txn_id,true_category,rationale
BT0001,Shopify Sales,Settlement revenue deposit
BT0002,Shopify Sales,Settlement revenue deposit
BT0003,Shopify Sales,Settlement revenue deposit
BT0004,Shopify Sales,Settlement revenue deposit
BT0005,Shopify Sales,Settlement revenue deposit
BT0006,Shopify Sales,Settlement revenue deposit
BT0007,Shopify Sales,Settlement revenue deposit
BT0008,Shopify Sales,Settlement revenue deposit
BT0009,Shopify Sales,Settlement revenue deposit
BT0010,Shopify Sales,Settlement revenue deposit
BT0011,Shopify Sales,Settlement revenue deposit
BT0012,Shopify Sales,Settlement revenue deposit
BT0013,Shopify Sales,Settlement revenue deposit
BT0014,Shopify Sales,Settlement revenue deposit
BT0015,Shopify Sales,Settlement revenue deposit
BT0016,Shopify Sales,Settlement revenue deposit
BT0017,Shopify Sales,Settlement revenue deposit
BT0018,Shopify Sales,Settlement revenue deposit
BT0019,Shopify Sales,Settlement revenue deposit
BT0020,Shopify Sales,Settlement revenue deposit
BT0021,Shopify Sales,Settlement revenue deposit
BT0022,Shopify Sales,Settlement revenue deposit
BT0023,Shopify Sales,Settlement revenue deposit
BT0024,Shopify Sales,Settlement revenue deposit
BT0025,Shopify Sales,Settlement revenue deposit
BT0026,Shopify Sales,Settlement revenue deposit
BT0027,Shopify Sales,Settlement revenue deposit
BT0028,Shopify Sales,Settlement revenue deposit
BT0029,Shopify Sales,Settlement revenue deposit
BT0030,Shopify Sales,Settlement revenue deposit
BT0031,Shopify Sales,Settlement revenue deposit
BT0032,Shopify Sales,Settlement revenue deposit
BT0033,Shopify Sales,Settlement revenue deposit
BT0034,Shopify Sales,Settlement revenue deposit
BT0035,Shopify Sales,Settlement revenue deposit
BT0036,Amazon Sales,Settlement revenue deposit
BT0037,Amazon Sales,Settlement revenue deposit
BT0038,Amazon Sales,Settlement revenue deposit
BT0039,Amazon Sales,Settlement revenue deposit
BT0040,Amazon Sales,Settlement revenue deposit
BT0041,Amazon Sales,Settlement revenue deposit
BT0042,Amazon Sales,Settlement revenue deposit
BT0043,Amazon Sales,Settlement revenue deposit
BT0044,Amazon Sales,Settlement revenue deposit
BT0045,Amazon Sales,Settlement revenue deposit
BT0046,Software & SaaS,Vendor expense payment
BT0047,Software & SaaS,Vendor expense payment
BT0048,Advertising & Marketing,Vendor expense payment
BT0049,Advertising & Marketing,Vendor expense payment
BT0050,Needs Review,Direct wire missing purchase invoice
BT0051,Needs Review,Direct wire missing purchase invoice
BT0052,Needs Review,Direct wire missing purchase invoice
BT0053,Needs Review,Direct wire missing purchase invoice
BT0054,Needs Review,Direct wire missing purchase invoice
BT0055,Needs Review,Direct wire missing purchase invoice
BT0056,Shipping & Fulfillment,Standard verified operating expense
BT0057,Advertising & Marketing,Standard verified operating expense
BT0058,Cost of Goods Sold,Standard verified operating expense
BT0059,Shipping & Fulfillment,Standard verified operating expense
BT0060,Shipping & Fulfillment,Standard verified operating expense
BT0061,Professional Services,Standard verified operating expense
BT0062,Software & SaaS,Standard verified operating expense
BT0063,Office & Admin,Standard verified operating expense
BT0064,Shipping & Fulfillment,Standard verified operating expense
BT0065,Office & Admin,Standard verified operating expense
BT0066,Shipping & Fulfillment,Standard verified operating expense
BT0067,Office & Admin,Standard verified operating expense
BT0068,Cost of Goods Sold,Standard verified operating expense
BT0069,Shipping & Fulfillment,Standard verified operating expense
BT0070,Shipping & Fulfillment,Standard verified operating expense
BT0071,Shipping & Fulfillment,Standard verified operating expense
BT0072,Cost of Goods Sold,Standard verified operating expense
BT0073,Office & Admin,Standard verified operating expense
BT0074,Office & Admin,Standard verified operating expense
BT0075,Cost of Goods Sold,Standard verified operating expense
BT0076,Software & SaaS,Standard verified operating expense
BT0077,Shipping & Fulfillment,Standard verified operating expense
BT0078,Shipping & Fulfillment,Standard verified operating expense
BT0079,Software & SaaS,Standard verified operating expense
BT0080,Software & SaaS,Standard verified operating expense
BT0081,Advertising & Marketing,Standard verified operating expense
BT0082,Advertising & Marketing,Standard verified operating expense
BT0083,Software & SaaS,Standard verified operating expense
BT0084,Professional Services,Standard verified operating expense
BT0085,Software & SaaS,Standard verified operating expense
BT0086,Office & Admin,Standard verified operating expense
BT0087,Professional Services,Standard verified operating expense
BT0088,Advertising & Marketing,Standard verified operating expense
BT0089,Advertising & Marketing,Standard verified operating expense
BT0090,Professional Services,Standard verified operating expense
BT0091,Shipping & Fulfillment,Standard verified operating expense
BT0092,Software & SaaS,Standard verified operating expense
BT0093,Advertising & Marketing,Standard verified operating expense
BT0094,Shipping & Fulfillment,Standard verified operating expense
BT0095,Cost of Goods Sold,Standard verified operating expense
BT0096,Software & SaaS,Standard verified operating expense
BT0097,Cost of Goods Sold,Standard verified operating expense
BT0098,Cost of Goods Sold,Standard verified operating expense
BT0099,Office & Admin,Standard verified operating expense
BT0100,Cost of Goods Sold,Standard verified operating expense
