txn_id,expected_payout_id,expected_net,channel
BT0001,SH-PO-0001,"22,604.87",Shopify
BT0002,SH-PO-0002,"12,020.86",Shopify
BT0003,SH-PO-0003,"24,442.73",Shopify
BT0004,SH-PO-0004,"22,139.69",Shopify
BT0005,SH-PO-0005,"11,211.75",Shopify
BT0006,SH-PO-0006,"19,388.07",Shopify
BT0007,SH-PO-0007,"19,059.61",Shopify
BT0008,SH-PO-0008,"12,896.06",Shopify
BT0009,SH-PO-0009,"25,207.30",Shopify
BT0010,SH-PO-0010,"11,085.43",Shopify
BT0011,SH-PO-0011,"7,268.99",Shopify
BT0012,SH-PO-0012,"20,498.50",Shopify
BT0013,SH-PO-0013,"17,538.43",Shopify
BT0014,SH-PO-0014,"6,569.20",Shopify
BT0015,SH-PO-0015,"20,879.27",Shopify
BT0016,SH-PO-0016,"9,630.46",Shopify
BT0017,SH-PO-0017,"11,506.77",Shopify
BT0018,SH-PO-0018,"28,401.00",Shopify
BT0019,SH-PO-0019,"12,387.36",Shopify
BT0020,SH-PO-0020,"8,807.16",Shopify
BT0021,SH-PO-0021,"11,521.49",Shopify
BT0022,SH-PO-0022,"6,346.81",Shopify
BT0023,SH-PO-0023,"25,083.09",Shopify
BT0024,SH-PO-0024,"11,601.89",Shopify
BT0025,SH-PO-0025,"21,017.16",Shopify
BT0026,SH-PO-0026,"11,095.98",Shopify
BT0027,SH-PO-0027,"15,234.99",Shopify
BT0028,SH-PO-0028,"27,907.01",Shopify
BT0029,SH-PO-0029,"17,702.62",Shopify
BT0030,SH-PO-0030,"18,246.71",Shopify
BT0031,SH-PO-0031,"24,330.55",Shopify
BT0032,SH-PO-0032,"20,870.29",Shopify
BT0033,SH-PO-0033,"15,305.22",Shopify
BT0034,SH-PO-0034,"19,760.20",Shopify
BT0035,SH-PO-0035,"30,015.14",Shopify
BT0036,AMZ-SETTLE-0001,"31,885.14",Amazon
BT0037,AMZ-SETTLE-0002,"17,661.18",Amazon
BT0038,AMZ-SETTLE-0003,"22,661.18",Amazon
BT0039,AMZ-SETTLE-0004,"27,303.53",Amazon
BT0040,AMZ-SETTLE-0005,"29,499.94",Amazon
BT0041,AMZ-SETTLE-0006,"19,335.92",Amazon
BT0042,AMZ-SETTLE-0007,"36,674.93",Amazon
BT0043,AMZ-SETTLE-0008,"34,664.07",Amazon
BT0044,AMZ-SETTLE-0009,"11,391.72",Amazon
BT0045,AMZ-SETTLE-0010,"25,657.43",Amazon
