payout_id,payout_date,gross_sales,processing_fees,refunds
SH-PO-0001,2026-01-03,"24,182.80",610.62,967.31
SH-PO-0002,2026-01-06,"12,346.76",325.90,0.00
SH-PO-0003,2026-01-08,"25,300.98",858.25,0.00
SH-PO-0004,2026-01-11,"22,714.78",575.09,0.00
SH-PO-0005,2026-01-13,"11,559.14",347.39,0.00
SH-PO-0006,2026-01-16,"21,837.35",702.29,"1,746.99"
SH-PO-0007,2026-01-18,"21,348.24",580.77,"1,707.86"
SH-PO-0008,2026-01-21,"13,345.72",449.66,0.00
SH-PO-0009,2026-01-23,"25,944.18",736.88,0.00
SH-PO-0010,2026-01-26,"11,459.41",373.98,0.00
SH-PO-0011,2026-01-28,"7,782.38",202.09,311.30
SH-PO-0012,2026-01-31,"23,111.78",764.34,"1,848.94"
SH-PO-0013,2026-02-02,"18,782.75",493.01,751.31
SH-PO-0014,2026-02-05,"7,364.01",205.69,589.12
SH-PO-0015,2026-02-07,"23,555.59",791.87,"1,884.45"
SH-PO-0016,2026-02-10,"10,768.66",276.71,861.49
SH-PO-0017,2026-02-12,"11,836.95",330.18,0.00
SH-PO-0018,2026-02-15,"30,659.53","1,032.15","1,226.38"
SH-PO-0019,2026-02-17,"13,339.21",418.28,533.57
SH-PO-0020,2026-02-20,"9,879.62",282.09,790.37
SH-PO-0021,2026-02-22,"13,009.33",447.09,"1,040.75"
SH-PO-0022,2026-02-25,"7,142.08",223.90,571.37
SH-PO-0023,2026-02-27,"26,873.80",715.76,"1,074.95"
SH-PO-0024,2026-03-02,"13,098.43",448.67,"1,047.87"
SH-PO-0025,2026-03-04,"21,708.49",691.33,0.00
SH-PO-0026,2026-03-07,"11,871.44",300.60,474.86
SH-PO-0027,2026-03-09,"17,034.94",437.15,"1,362.80"
SH-PO-0028,2026-03-12,"31,291.03",880.74,"2,503.28"
SH-PO-0029,2026-03-14,"19,976.94",676.16,"1,598.16"
SH-PO-0030,2026-03-17,"18,765.56",518.85,0.00
SH-PO-0031,2026-03-19,"27,349.67",831.15,"2,187.97"
SH-PO-0032,2026-03-22,"22,537.58",765.79,901.50
SH-PO-0033,2026-03-24,"15,859.89",554.67,0.00
SH-PO-0034,2026-03-27,"20,285.79",525.59,0.00
SH-PO-0035,2026-03-29,"30,833.09",817.95,0.00
