id,arrival_date,amount_cents,fee_cents,refund_cents
po_stripe_0001,2026-01-03,2725591,79072,0
po_stripe_0002,2026-01-06,799147,23205,23974
po_stripe_0003,2026-01-09,1555260,45133,46658
po_stripe_0004,2026-01-12,2565863,74440,0
po_stripe_0005,2026-01-15,1309535,38007,39286
po_stripe_0006,2026-01-17,1036487,30088,31095
po_stripe_0007,2026-01-20,1084598,31483,32538
po_stripe_0008,2026-01-23,771512,22404,23145
po_stripe_0009,2026-01-26,922482,26782,0
po_stripe_0010,2026-01-29,1790033,51941,0
po_stripe_0011,2026-01-31,2195141,63689,0
po_stripe_0012,2026-02-03,520342,15119,15610
po_stripe_0013,2026-02-06,1606841,46628,0
po_stripe_0014,2026-02-09,536511,15588,0
po_stripe_0015,2026-02-12,2443222,70883,0
po_stripe_0016,2026-02-14,1828084,53044,0
po_stripe_0017,2026-02-17,1369061,39733,0
po_stripe_0018,2026-02-20,1789406,51923,0
po_stripe_0019,2026-02-23,1886516,54739,56595
po_stripe_0020,2026-02-26,1977696,57383,59330
po_stripe_0021,2026-02-28,2643295,76686,0
po_stripe_0022,2026-03-03,2007341,58242,60220
po_stripe_0023,2026-03-06,972845,28243,29185
po_stripe_0024,2026-03-09,714108,20739,21423
po_stripe_0025,2026-03-12,1497339,43453,0
po_stripe_0026,2026-03-14,422357,12278,0
po_stripe_0027,2026-03-17,575826,16729,0
po_stripe_0028,2026-03-20,1614123,46840,0
po_stripe_0029,2026-03-23,2639823,76585,0
po_stripe_0030,2026-03-26,2510249,72827,75307
